Test Case ID,Test Case Title,Preconditions,Test Steps,Expected Result,Actual Result,Priority,Test Type,Feature / Module,Severity,Status,Executed QA Name,Is Automated
TC-VWO-001,"Verify successful login with valid email and password","User account exists in VWO with valid credentials","1. Navigate to app.vwo.com/login\n2. Enter valid registered email address in email field\n3. Enter valid corresponding password in password field\n4. Click Sign in button","User is redirected to VWO main dashboard. Session is established.","",P1,Functional - Positive,Authentication - Login,Critical,Not Executed,,No
TC-VWO-002,"Verify login fails with invalid password","User account exists in VWO with valid email","1. Navigate to app.vwo.com/login\n2. Enter valid registered email address\n3. Enter incorrect password\n4. Click Sign in button","Error message displayed: \"Invalid email or password\". User remains on login page.","",P1,Functional - Negative,Authentication - Login,High,Not Executed,,No
TC-VWO-003,"Verify login fails with unregistered email","User does NOT have a VWO account","1. Navigate to app.vwo.com/login\n2. Enter email address not registered with VWO\n3. Enter any password\n4. Click Sign in button","Error message displayed: \"Invalid email or password\". User remains on login page.","",P1,Functional - Negative,Authentication - Login,High,Not Executed,,No
TC-VWO-004,"Verify email format validation on blur","User is on login page","1. Navigate to app.vwo.com/login\n2. Enter invalid email format e.g. 'usermail.com' or 'user@' or 'user@domain'\n3. Click or tab out of email field (trigger onBlur)","Email field shows validation error: \"Please enter a valid email address (e.g., name@example.com)\". Sign in button may be disabled or submission prevented.","",P2,Functional - Negative,Authentication - Login,Medium,Not Executed,,No
TC-VWO-005,"Verify password field masks input characters","User is on login page","1. Navigate to app.vwo.com/login\n2. Enter any text in password field\n3. Observe characters displayed","Password field displays masked characters (dots or asterisks) instead of plain text.","",P2,Functional - Positive,Authentication - Login,Medium,Not Executed,,No
TC-VWO-006,"Verify successful password reset via Forgot Password flow","User has registered VWO account and knows registered email","1. Navigate to app.vwo.com/login\n2. Click 'Forgot Password?' link\n3. Enter registered email address\n4. Submit reset request\n5. Check email inbox for reset token/link\n6. Click link and set new password","User receives password reset email with secure token or unique link. New password can be set. Confirmation message displayed.","",P1,Functional - Positive,Authentication - Password Management,High,Not Executed,,No
TC-VWO-007,"Verify Remember Me creates 7-day persistent session","User has valid VWO account credentials","1. Navigate to app.vwo.com/login\n2. Check 'Remember me' checkbox\n3. Enter valid email and password\n4. Click Sign in\n5. Close browser completely\n6. Reopen browser and navigate to app.vwo.com within 7 days","User remains logged in automatically. Session persists for 7 days from last login.","",P1,Functional - Positive,Authentication - Session Management,High,Not Executed,,No
TC-VWO-008,"Verify session expires after 7 days when Remember Me checked","User logged in with Remember Me checked 6 days and 23 hours ago","1. Navigate to app.vwo.com/login (7 days + 1 minute after last login)\n2. Attempt to access dashboard without re-authenticating","Session has expired. User is redirected to login page.","",P1,Functional - Positive,Authentication - Session Management,High,Not Executed,,No
TC-VWO-009,"Verify login with empty email field","User is on login page","1. Navigate to app.vwo.com/login\n2. Leave email field blank\n3. Enter valid password\n4. Click Sign in button","Error message displayed: \"Email is required\". Sign in not processed.","",P2,Functional - Negative,Authentication - Login,Medium,Not Executed,,No
TC-VWO-010,"Verify login with empty password field","User is on login page","1. Navigate to app.vwo.com/login\n2. Enter valid email\n3. Leave password field blank\n4. Click Sign in button","Error message displayed: \"Password is required\". Sign in not processed.","",P2,Functional - Negative,Authentication - Login,Medium,Not Executed,,No
TC-VWO-011,"Verify login with both fields empty","User is on login page","1. Navigate to app.vwo.com/login\n2. Leave email field blank\n3. Leave password field blank\n4. Click Sign in button","Error messages displayed: \"Email is required\" and \"Password is required\". Sign in not processed.","",P2,Functional - Negative,Authentication - Login,Medium,Not Executed,,No
TC-VWO-012,"Verify rate limiting locks account after 3 failed attempts","User has valid VWO account credentials","1. Navigate to app.vwo.com/login\n2. Attempt login with incorrect password - Attempt 1\n3. Attempt login with incorrect password - Attempt 2\n4. Attempt login with incorrect password - Attempt 3\n5. Attempt login with correct password on 4th attempt","After 3 failed attempts, account is temporarily locked. Error message: \"Account temporarily locked. Too many failed attempts. Please try again later.\" Login with correct password also fails.","",P1,Functional - Negative,Authentication - Rate Limiting,Critical,Not Executed,,Planned
TC-VWO-013,"Verify rate limit counter resets after successful cooldown period","User account was locked after 3 failed attempts, cooldown period has elapsed","1. Wait for rate limit cooldown period (duration not specified in PRD - typically 15-30 minutes)\n2. Attempt login with correct credentials","After cooldown period, login succeeds with correct credentials. Rate limit counter resets to zero.","",P2,Functional - Positive,Authentication - Rate Limiting,High,Not Executed,,Planned
TC-VWO-014,"Verify idle session timeout after 30 seconds of inactivity","User is successfully logged into VWO dashboard","1. Log in successfully to VWO dashboard\n2. Do not move mouse, type, or interact with page for 30 seconds\n3. Attempt to click any element on page after 30 seconds","User session times out. User is logged out and redirected to login page.","",P1,Functional - Positive,Authentication - Session Management,High,Not Executed,,No
TC-VWO-015,"Verify activity resets idle session timeout counter","User is successfully logged into VWO dashboard","1. Log in successfully to VWO dashboard\n2. Remain idle for 25 seconds\n3. Move mouse or click any element\n4. Remain idle for another 25 seconds\n5. Attempt to interact after second idle period","User remains logged in. Session timeout counter resets after each user activity.","",P2,Functional - Positive,Authentication - Session Management,Medium,Not Executed,,No
TC-VWO-016,"Verify email field auto-focus on page load","User navigates to login page for first time in session","1. Navigate to app.vwo.com/login\n2. Observe cursor position on page load without clicking anywhere","Cursor/auto-focus is placed in the email input field.","",P3,Functional - Positive,Authentication - UX,Low,Not Executed,,No
TC-VWO-017,"Verify Tab key navigates form fields in correct order","User is on login page using keyboard only","1. Navigate to app.vwo.com/login\n2. Press Tab key repeatedly\n3. Observe focus order","Focus order: Email field → Password field → 'Remember me' checkbox → Sign in button → 'Forgot Password?' link → 'Start a FREE TRIAL' link.","",P3,Functional - Positive,Authentication - Accessibility,Medium,Not Executed,,No
TC-VWO-018,"Verify Enter key submits login form","User is on login page with valid credentials entered","1. Navigate to app.vwo.com/login\n2. Enter valid email\n3. Enter valid password\n4. Press Enter key (without clicking Sign in button)","Login form submits and user is redirected to VWO dashboard. Same behavior as clicking Sign in button.","",P2,Functional - Positive,Authentication - Login,Medium,Not Executed,,No
TC-VWO-019,"Verify loading state during authentication submission","User is on login page with valid credentials","1. Navigate to app.vwo.com/login\n2. Enter valid email and password\n3. Click Sign in button\n4. Observe UI during authentication processing","Loading indicator, spinner, or disabled button state appears. Sign in button text may change to \"Signing in...\".","",P2,Functional - Positive,Authentication - UX,Medium,Not Executed,,No
TC-VWO-020,"Verify navigation to Free Trial signup","User is new visitor without VWO account","1. Navigate to app.vwo.com/login\n2. Click 'Start a FREE TRIAL' link/button","User is redirected to VWO free trial registration page. URL changes to signup path.","",P1,Functional - Positive,Authentication - Registration,Critical,Not Executed,,No
TC-VWO-021,"Verify Google Sign-in option presence and clickability","User is on login page with functional Google OAuth configured","1. Navigate to app.vwo.com/login\n2. Locate 'Sign in with Google' button\n3. Click the button","Google OAuth authentication flow initiates. User is redirected to Google login page or popup.","",P2,Functional - Positive,Authentication - Social Login,High,Not Executed,,Planned
TC-VWO-022,"Verify SSO Sign-in option for enterprise users","Enterprise user with SSO configured and valid SAML/OAuth identity provider","1. Navigate to app.vwo.com/login\n2. Click 'Sign in using SSO' button\n3. Enter enterprise email or select IdP\n4. Complete SSO authentication","User is authenticated via enterprise SSO and redirected to VWO dashboard.","",P1,Functional - Positive,Authentication - SSO,High,Not Executed,,Planned
TC-VWO-023,"Verify Passkey authentication option","User has registered passkey on device","1. Navigate to app.vwo.com/login\n2. Click 'Sign in with Passkey' button\n3. Complete device biometric (fingerprint/face) or PIN challenge","User authenticated via passkey and redirected to VWO dashboard.","",P2,Functional - Positive,Authentication - Passkey,Medium,Not Executed,,Planned
TC-VWO-024,"Verify HTTPS enforcement for all login communications","User is on login page","1. Navigate to app.vwo.com/login\n2. Inspect browser address bar for protocol\n3. Use browser devtools to verify all network requests use HTTPS","URL protocol is HTTPS. All authentication-related network requests use SSL/TLS encryption. No HTTP requests allowed.","",P1,Non-Functional,Security - Encryption,Critical,Not Executed,,No
TC-VWO-025,"Verify page loads within 2 seconds","Standard broadband connection (10+ Mbps) and cleared browser cache","1. Open browser devtools Network tab\n2. Navigate to app.vwo.com/login\n3. Measure full page load time from navigation start to onload event","Page load time is ≤ 2000 milliseconds (2 seconds).","",P1,Non-Functional,Performance - Load Time,High,Not Executed,,Planned
TC-VWO-026,"Verify screen reader compatibility with ARIA labels","Screen reader software enabled (e.g., NVDA, VoiceOver, JAWS)","1. Navigate to app.vwo.com/login with screen reader running\n2. Navigate through all interactive elements (email, password, checkbox, buttons, links)\n3. Listen to announced labels and roles","All form fields and interactive elements have appropriate ARIA labels and are announced correctly. Roles (textbox, checkbox, button, link) are properly identified.","",P2,Non-Functional,Accessibility - Screen Reader,Medium,Not Executed,,Planned
TC-VWO-027,"Verify high contrast mode support","Operating system or browser high contrast mode enabled","1. Enable High Contrast Mode in OS/browser settings\n2. Navigate to app.vwo.com/login\n3. Verify all text, inputs, buttons, and links remain visible and distinguishable","All UI elements maintain sufficient contrast ratio (minimum 4.5:1 for normal text). No information loss or invisible elements.","",P3,Non-Functional,Accessibility - Visual,Low,Not Executed,,Planned
TC-VWO-028,"Verify concurrent user login handling (1000+ simultaneous users)","Load testing tool capable of simulating concurrent requests (e.g., JMeter, K6)","1. Configure load test to simulate 1000+ simultaneous login attempts\n2. Execute test targeting app.vwo.com/login authentication endpoint\n3. Monitor response times, error rates (target <1%), and system stability","System handles 1000+ concurrent login attempts without crashes. 99% of requests complete within acceptable threshold. No authentication failures due to load.","",P1,Non-Functional,Performance - Scalability,High,Not Executed,,Planned
TC-VWO-029,"Verify Dark Mode theme displays correctly","User has OS or browser Dark Mode preference enabled","1. Enable Dark Mode in operating system or browser\n2. Navigate to app.vwo.com/login\n3. Observe color scheme of login page","Login page displays Dark Mode color scheme (dark background, light text). All UI elements readable and properly contrasted.","",P3,Functional - Positive,Authentication - Visual Design,Low,Not Executed,,No
TC-VWO-030,"Verify successful MFA authentication when enabled","User has MFA/2FA enabled on VWO account (TOTP or SMS)","1. Navigate to app.vwo.com/login\n2. Enter valid email and password\n3. Click Sign in\n4. Enter valid 2FA code when prompted","User successfully authenticates and is redirected to VWO dashboard after 2FA validation. Session established.","",P1,Functional - Positive,Authentication - MFA,High,Not Executed,,Planned
TC-VWO-031,"Verify MFA rejection with invalid 2FA code","User has MFA/2FA enabled on VWO account","1. Navigate to app.vwo.com/login\n2. Enter valid email and password\n3. Click Sign in\n4. Enter invalid 2FA code when prompted","Error message displayed: \"Invalid verification code. Please try again.\" User remains on 2FA verification screen. Access to dashboard denied.","",P1,Functional - Negative,Authentication - MFA,High,Not Executed,,Planned
TC-VWO-032,"Verify SQL injection attempt on email field is rejected","User is on login page","1. Navigate to app.vwo.com/login\n2. Enter SQL injection payload in email field e.g. \"admin' OR '1'='1\"\n3. Enter any password\n4. Click Sign in button","SQL injection does not bypass authentication. Error message \"Invalid email or password\" displayed. No database errors exposed.","",P1,Non-Functional,Security - SQL Injection,Critical,Not Executed,,Planned
TC-VWO-033,"Verify XSS attempt on login fields is sanitized","User is on login page","1. Navigate to app.vwo.com/login\n2. Enter XSS payload in email field e.g. \"<script>alert('XSS')</script>\"\n3. Enter any password\n4. Click Sign in button\n5. Inspect page source and DOM","XSS payload is sanitized/escaped. No script execution. No alert dialog appears.","",P1,Non-Functional,Security - XSS,Critical,Not Executed,,Planned
TC-VWO-034,"Verify password complexity requirements are enforced during password reset","User is resetting password via Forgot Password flow","1. Navigate to password reset page via Forgot Password link\n2. Attempt to set weak password e.g. \"password123\" or \"12345678\"\n3. Submit new password","Error message displayed indicating password does not meet complexity requirements (minimum length, character types). PRD states \"Enforced security standards for password complexity\" - specific requirements not defined in PRD.","",P2,Functional - Negative,Authentication - Password Management,Medium,Not Executed,,No
TC-VWO-035,"Verify sensitive data not exposed in error responses","User is on login page","1. Navigate to app.vwo.com/login\n2. Enter invalid credentials\n3. Inspect network response using browser devtools\n4. Check response body and headers for sensitive data","Error responses contain no sensitive information (no stack traces, database details, internal paths, or user enumeration). Error message is generic.","",P1,Non-Functional,Security - Data Exposure,Critical,Not Executed,,Planned
